system:index,loss_ha,year,.geo
0,0.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.0,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.0,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.0,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.0,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.0,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.0,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.0,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
